Year	Month	Temp	Prec	Evap	Soiltemp
1999	1	-0.1	0	11.1	2.41
1999	2	-1.3	37.6	14.6	1.33
1999	3	-0.6	36.1	23.8	1.96
1999	4	7	32.2	32.6	8.8
1999	5	9.6	57.6	38.3	11.14
1999	6	11.2	42.1	72.2	12.58
1999	7	12.7	70	67.2	13.93
1999	8	13.9	87.5	58.1	15.01
1999	9	11.9	85.9	47.7	13.21
1999	10	8.1	51.1	20.1	9.79
1999	11	3.7	36.4	14.6	5.83
1999	12	1.4	56.6	10.8	3.76
2000	1	4.6	76.8	18.6	6.64
2000	2	4.1	72.9	18.5	6.19
2000	3	3.2	42.3	20.1	5.38
2000	4	5.4	40.4	34.7	7.36
2000	5	12.3	39.3	64.7	13.57
2000	6	12.5	48.7	58	13.75
2000	7	15.7	82.1	57	16.63
2000	8	14.2	53.7	42.6	15.28
2000	9	12.8	37.6	31.2	14.02
2000	10	13.3	22.2	23.2	14.47
2000	11	7.1	27.9	12.8	8.89
2000	12	2.1	9.8	11	4.39
2001	1	-1.9	28.4	9.1	0.79
2001	2	-2.3	36.2	15.7	0.43
2001	3	-0.5	19	21.5	2.05
2001	4	7.1	24.6	28.5	8.89
2001	5	8.8	24.5	58.6	10.42
2001	6	13.9	78.4	66	15.01
2001	7	14.3	52.6	45.1	15.37
2001	8	14.6	45.2	41	15.64
2001	9	12.5	48.3	30.1	13.75
2001	10	8.7	95.6	23.4	10.33
2001	11	7	101.2	14.3	8.8
2001	12	3.4	41.1	10.3	5.56
2002	1	-0.1	28.5	11.8	2.41
2002	2	2.2	48.4	17.9	4.48
2002	3	4.9	9.8	28.7	6.91
2002	4	6.2	27.5	37.9	8.08
2002	5	11.9	20.5	53.7	13.21
2002	6	15.3	52.7	45.3	16.27
2002	7	16.1	61	47.7	16.99
2002	8	14.5	81.8	54.9	15.55
2002	9	12.9	80.3	33	14.11
2002	10	10.4	27.6	26.4	11.86
2002	11	6.7	81.5	16.6	8.53
2002	12	1	35.7	9	3.4
2003	1	-1.4	0	10.4	1.24
2003	2	1.3	47.7	16.7	3.67
2003	3	2.7	10.6	25.1	4.93
2003	4	5.9	22.2	30.9	7.81
2003	5	7.2	54.4	46.7	8.98
2003	6	13.3	72.8	60.3	14.47
2003	7	15.3	47.8	75	16.27
2003	8	14.5	73.6	43.5	15.55
2003	9	12.2	49.2	33	13.48
2003	10	10.1	85.5	30.7	11.59
2003	11	3.3	46.5	14	5.47
2003	12	0.5	0	9.8	2.95
2004	1	2.1	62.2	14.9	4.39
2004	2	0.5	44.8	16.4	2.95
2004	3	-0.8	40.8	24.4	1.78
2004	4	2.7	26.8	32.4	4.93
2004	5	8.7	44.1	42.1	10.33
2004	6	16.5	59.2	89.1	17.35
2004	7	18.6	35.6	34	19.24
2004	8	17.2	28.7	28.1	17.98
2004	9	12.9	119.7	37.3	14.11
2004	10	8.3	82.2	23.5	9.97
2004	11	6.7	52.8	18.2	8.53
2004	12	2.1	21.7	12.4	4.39
2005	1	1.9	35.4	12.1	4.21
2005	2	2	70.6	20.7	4.3
2005	3	2.9	28.7	20.7	5.11
2005	4	5.4	23.4	29.3	7.36
2005	5	7.9	29	56.9	9.61
2005	6	15.5	4.7	33.1	16.45
2005	7	19	53	42.6	19.6
2005	8	15.2	80	50.3	16.18
2005	9	11.9	61	41.8	13.21
2005	10	7.6	77.7	22.3	9.34
2005	11	4.7	78.4	14	6.73
2005	12	-2.5	8.4	9.1	0.25
2006	1	2.4	61.2	14.2	4.66
2006	2	2.1	48.5	16.6	4.39
2006	3	4.9	18	23	6.91
2006	4	6.6	78.4	31.1	8.44
2006	5	7.9	86.9	45.7	9.61
2006	6	10.4	40.2	69.1	11.86
2006	7	12.3	104.4	66	13.57
2006	8	12.3	72	56.1	13.57
2006	9	10.9	50.6	39.5	12.31
2006	10	9	70.6	24.6	10.6
2006	11	5.6	83.3	14.6	7.54
