Year	Month	Temp	Prec	Evap	Soiltemp
1766	1	-3.7	15.9	3.7	-0.83
1766	2	-2.4	36.5	6.4	0.34
1766	3	0.9	30.4	19.3	3.31
1766	4	5.8	45.4	38.5	7.72
1766	5	7.9	62.2	46.7	9.61
1766	6	13.1	74.4	67.1	14.29
1766	7	15.6	71.2	49.9	16.54
1766	8	16.9	44.1	59.4	17.71
1766	9	12.6	50.8	33.4	13.84
1766	10	7.4	49.4	16.6	9.16
1766	11	4.7	50.6	11.5	6.73
1766	12	-0.4	36.6	5.8	2.14
1767	1	-4.5	45	3.4	-1.55
1767	2	2.4	52.5	25.2	4.66
1767	3	1.4	37.2	21.2	3.76
1767	4	4.9	37.6	35	6.91
1767	5	8.3	53.7	48.3	9.97
1767	6	11.9	48.2	62.4	13.21
1767	7	14	90.9	40.3	15.1
1767	8	16.2	60	54.1	17.08
1767	9	13.6	55	38.1	14.74
1767	10	7.4	60.5	16.6	9.16
1767	11	4.3	49.9	10.9	6.37
1767	12	-0.4	24.2	5.8	2.14
1768	1	-2.8	50.5	4.2	-0.02
1768	2	-1.9	57.1	8.3	0.79
1768	3	-1.1	18.6	11.5	1.51
1768	4	4.9	54.2	35	6.91
1768	5	9.4	40.2	52.6	10.96
1768	6	14.1	91.2	71	15.19
1768	7	15.9	79.8	52	16.81
1768	8	15.1	66.9	46.7	16.09
1768	9	11.2	86.1	27.6	12.58
1768	10	7.6	66.3	17	9.34
1768	11	3.6	74.5	10	5.74
1768	12	2.3	48.7	8.4	4.57
1769	1	0.2	39.1	6.3	2.68
1769	2	-0.8	41.2	12.6	1.78
1769	3	1.8	27.8	22.8	4.12
1769	4	5	40.1	35.3	7
1769	5	9.5	49.9	53	11.05
1769	6	14	80.2	70.6	15.1
1769	7	15.7	52.1	50.6	16.63
1769	8	14.5	69.9	43	15.55
1769	9	12.7	84.7	33.8	13.93
1769	10	5.9	42	13.6	7.81
1769	11	3	56.1	9.2	5.2
1769	12	0.7	41.2	6.7	3.13
1770	1	-1.7	31.8	4.9	0.97
1770	2	0.3	33.1	16.9	2.77
1770	3	-3	40.1	4	-0.2
1770	4	3.7	50.6	30.3	5.83
1770	5	10	46.5	54.9	11.5
1770	6	13.6	78.1	69	14.74
1770	7	16.4	54.7	55.6	17.26
1770	8	16.4	50.3	55.6	17.26
1770	9	14.2	64.4	41.3	15.28
1770	10	9.9	65	23.2	11.41
1770	11	2.5	95.2	8.6	4.75
1770	12	1.1	53	7.1	3.49
1771	1	-3.4	37.2	3.9	-0.56
1771	2	-4.3	25.2	0	-1.37
1771	3	-4.6	29.7	0	-1.64
1771	4	0.8	34.9	18.9	3.22
1771	5	10.6	42.1	57.3	12.04
1771	6	16.5	46.2	80.4	17.35
1771	7	15.8	49.4	51.3	16.72
1771	8	13.5	76.2	37.6	14.65
1771	9	11.8	55.3	30	13.12
1771	10	8.3	72.8	18.7	9.97
1771	11	1.6	41.4	7.6	3.94
1771	12	1.6	48.5	7.6	3.94
1772	1	-3	40.6	4.1	-0.2
1772	2	-3.9	45.9	0.5	-1.01
1772	3	-2.9	43.7	4.4	-0.11
1772	4	2.6	44.6	25.9	4.84
