Year	Month	Temp	Prec	Evap	Soiltemp
1999	1	3.4	54.5	10.5	5.56
1999	2	4	37.8	21.5	6.1
1999	3	1.3	15.2	37.2	3.67
1999	4	7.1	91	33.5	8.89
1999	5	11.2	100.3	56	12.58
1999	6	13.3	75.8	79.5	14.47
1999	7	13.1	54.5	64.6	14.29
1999	8	13.6	82.8	56.6	14.74
1999	9	12.6	95.5	57.6	13.84
1999	10	9.9	63.4	19.7	11.41
1999	11	5.7	45.1	14.5	7.63
1999	12	5.4	75.8	16.8	7.36
2000	1	5.9	89.2	23.7	7.81
2000	2	6.1	86.7	26.6	7.99
2000	3	4.1	49.4	33	6.19
2000	4	6.5	33.9	41.6	8.35
2000	5	10	56.7	44.7	11.5
2000	6	11.7	45.7	84.1	13.03
2000	7	15.1	82.1	69.5	16.09
2000	8	14.6	54.3	59.2	15.64
2000	9	13.1	37.9	49	14.29
2000	10	11.7	81	22	13.03
2000	11	8.9	52.7	14.9	10.51
2000	12	4.7	33.1	9.2	6.73
2001	1	3.2	43.1	13.6	5.38
2001	2	1	42.8	18.7	3.4
2001	3	2.1	13.1	31.3	4.39
2001	4	7.4	34.7	32.8	9.16
2001	5	10.7	43.9	50.2	12.13
2001	6	12.5	68.7	76.1	13.75
2001	7	12.7	51.6	78.2	13.93
2001	8	14.5	58.6	69.6	15.55
2001	9	15	42.6	43.4	16
2001	10	9.1	81.8	30.1	10.69
2001	11	8.3	104	19.6	9.97
2001	12	5.6	84.8	9.9	7.54
2002	1	5	41.6	18	7
2002	2	5.7	46.6	23.5	7.63
2002	3	7	20.7	35.1	8.8
2002	4	7.7	55.5	43.5	9.43
2002	5	11.8	76.5	52.3	13.12
2002	6	12.9	70.6	91.9	14.11
2002	7	13.9	94.2	77	15.01
2002	8	13.6	54.9	59.9	14.74
2002	9	13.6	66.1	40	14.74
2002	10	11.1	110.2	25.3	12.49
2002	11	6.1	69.8	16.8	7.99
2002	12	3.8	31	13.4	5.92
2003	1	-0.7	12.7	8.4	1.87
2003	2	5.7	29.7	18.1	7.63
2003	3	5.7	20.8	28.6	7.63
2003	4	8.6	61.6	35.8	10.24
2003	5	9.2	22	57.7	10.78
2003	6	10.8	10	78.4	12.22
2003	7	16.5	23.9	71	17.35
2003	8	15.4	52.2	62.6	16.36
2003	9	15	24.8	36	16
2003	10	9.8	140.1	30.1	11.32
2003	11	5.2	68.1	14.7	7.18
2003	12	5.5	58.7	16.8	7.45
2004	1	5.3	64.6	20.6	7.27
2004	2	3.1	20.6	17.3	5.29
2004	3	1.9	28.8	37	4.21
2004	4	5.6	40.8	42.3	7.54
2004	5	10.4	54.1	35.7	11.86
2004	6	15	77.5	66.6	16
2004	7	15.4	84.8	68.1	16.36
2004	8	16.6	12.9	89.9	17.44
2004	9	12.6	80.1	56.7	13.84
2004	10	10.1	99.5	29.5	11.59
2004	11	8.2	44.9	18.7	9.88
2004	12	4.4	59.4	11.8	6.46
2005	1	7	88.2	15.7	8.8
2005	2	4.5	52.9	23.6	6.55
2005	3	4.7	51.3	23.3	6.73
2005	4	7.1	74.2	33	8.89
2005	5	10	45.5	60.7	11.5
2005	6	14.6	61.3	96.6	15.64
2005	7	13.5	94.7	92.7	14.65
2005	8	13.8	101.4	57.8	14.92
2005	9	11.6	73	44	12.94
2005	10	8.6	105.2	26.2	10.24
2005	11	7	115.4	19.8	8.8
2005	12	3.8	44.2	13.3	5.92
2006	1	5.8	90.6	16.6	7.72
2006	2	6.8	93.9	24.8	8.62
2006	3	6.4	102.9	30.2	8.26
2006	4	8	72.5	53.7	9.7
2006	5	8.2	66.5	59.9	9.88
2006	6	11.6	31.6	70.5	12.94
2006	7	12.7	90.8	70	13.93
2006	8	12.8	65.9	64.6	14.02
2006	9	11.8	53.9	41.4	13.12
2006	10	10	87.5	23.4	11.5
2006	11	8.6	103	22.1	10.24
2006	12	5.4	34.2	13.5	7.36
2007	1	5.3	87.9	21.2	7.27
2007	2	5.9	96.7	25.6	7.81
2007	3	5.4	48.9	31.5	7.36
2007	4	7.7	82.7	30.1	9.43
2007	5	11.3	95.3	52.8	12.67
2007	6	14.1	58	101.2	15.19
2007	7	15.6	114.6	78.7	16.54
2007	8	13.9	44.8	61	15.01
2007	9	13.9	124	46.2	15.01
2007	10	10.6	85.5	19.2	12.04
2007	11	8.1	83.5	14.8	9.79
2007	12	6.3	36.5	10.4	8.17
2008	1	8.3	45.6	21.2	9.97
2008	2	3.6	29	21.2	5.74
2008	3	2.9	33.9	26.2	5.11
2008	4	4.4	37.4	56.2	6.46
2008	5	9.9	64.8	47.9	11.41
2008	6	12.9	98	75.5	14.11
2008	7	13.3	63.1	67	14.47
2008	8	13.7	86.3	67.7	14.83
2008	9	12	79.8	45.2	13.3
2008	10	9	75	26.8	10.6
2008	11	6.1	29.5	12.4	7.99
2008	12	2.8	13	10.9	5.02
2009	1	4.5	123.6	15.3	6.55
2009	2	5.4	66.5	20.4	7.36
2009	3	7.9	42.5	22.9	9.61
2009	4	8.2	73.6	40.6	9.88
2009	5	10.9	73.4	63.2	12.31
2009	6	14.6	83.3	80.4	15.64
2009	7	13.8	47.2	70.7	14.92
2009	8	15	115	56	16
2009	9	11.8	76.1	50	13.12
2009	10	9.1	78.7	25.6	10.69
2009	11	9.5	168.9	18.2	11.05
2009	12	7.7	57.7	14.9	9.43
2010	1	3.2	99.9	9.7	5.38
2010	2	6.9	89.2	22.1	8.71
2010	3	6.1	80	43.6	7.99
2010	4	6.3	41.4	53.3	8.17
2010	5	9.2	79.3	60.9	10.78
2010	6	11.3	40.8	65.4	12.67
2010	7	13.8	22.9	65	14.92
2010	8	19.9	54.4	98.9	20.41
2010	9	12.9	111.3	41.8	14.11
2010	10	10.3	69.9	23.7	11.77
2010	11	8.1	34.2	14.2	9.79
2010	12	6.2	86.4	14.8	8.08
2011	1	5.8	71.6	19.2	7.72
2011	2	7.1	101	16.7	8.89
2011	3	5.5	38	28.9	7.45
2011	4	8.2	51	49.2	9.88
2011	5	10.8	80	66.7	12.22
2011	6	11.7	3.9	64.2	13.03
2011	7	14.8	94.8	74	15.82
2011	8	14.5	59.8	65.3	15.55
2011	9	11.9	140.7	49.8	13.21
2011	10	9.5	84.8	25.6	11.05
2011	11	7.1	39.6	17.5	8.89
2011	12	6.8	77.9	19.5	8.62
2012	1	5.6	58.4	19.3	7.54
2012	2	5.6	49.8	19.6	7.54
2012	3	2.5	31.6	31.6	4.75
2012	4	6.7	41.1	39	8.53
2012	5	10.4	56.1	52.6	11.86
2012	6	12.7	34.7	83	13.93
2012	7	13.8	53	72.1	14.92
2012	8	13.5	84.2	63.8	14.65
2012	9	13.6	96.2	48.4	14.74
2012	10	10.1	121.5	25.6	11.59
2012	11	7.8	128	14.1	9.52
2012	12	6.8	72.2	14.7	8.62
2013	1	7	142.8	24.5	8.8
2013	2	6.6	117.8	22.5	8.44
2013	3	5.6	19.2	31.7	7.54
2013	4	7.4	53.8	42.6	9.16
2013	5	8.8	76	56	10.42
2013	6	15.1	58.1	100.4	16.09
2013	7	16.1	74.1	106.1	16.99
2013	8	13.5	115.4	61.2	14.65
2013	9	12	82.1	41.2	13.3
2013	10	8.3	98.8	23.8	9.97
2013	11	6.7	63.8	13.5	8.53
2013	12	6.7	79.3	15.2	8.53
2014	1	3.8	32.4	14.5	5.92
2014	2	7.5	53.4	25	9.25
2014	3	7.8	73.3	20.2	9.52
2014	4	7	54.9	44	8.8
2014	5	10	32.5	48.6	11.5
2014	6	11.7	69.9	80.4	13.03
2014	7	13.7	37.9	75.5	14.83
2014	8	13	48.6	45.5	14.2
2014	9	13	68.3	51.3	14.2
2014	10	9.6	49.8	25.8	11.14
2014	11	11.3	115.9	13.7	12.67
2014	12	8.1	84.7	17.5	9.79
2015	1	6.5	108	19.4	8.35
2015	2	5.9	76	22.1	7.81
2015	3	6.6	54.9	23.5	8.44
2015	4	8.8	60.2	27.7	10.42
2015	5	11.1	90.7	44	12.49
2015	6	15.5	113.2	97.4	16.45
2015	7	16.4	43.6	100.8	17.26
