Year	Month	Temp	Prec	Evap	Soiltemp
1766	1	0.5	14.5	3.5	2.95
1766	2	1.4	53.9	7.8	3.76
1766	3	3.8	42.2	21.5	5.92
1766	4	7.4	50.2	42.9	9.16
1766	5	8.9	80	51.7	10.51
1766	6	12.7	101.6	73.6	13.93
1766	7	14.5	95.9	77	15.55
1766	8	15.4	47.8	92.6	16.36
1766	9	12.3	59.7	47	13.57
1766	10	8.5	57.2	20.7	10.15
1766	11	6.6	59.4	13.4	8.44
1766	12	2.9	54.1	6	5.11
1767	1	-0.1	70.3	3.1	2.41
1767	2	4.9	84.6	28.1	6.91
1767	3	4.2	55.3	24.3	6.28
1767	4	6.7	36.3	38.5	8.53
1767	5	9.2	64.9	53.3	10.78
1767	6	11.8	55.1	68.6	13.12
1767	7	13.3	131	59	14.47
1767	8	14.9	76	83.6	15.91
1767	9	13	67.2	55.4	14.2
1767	10	8.5	77	20.3	10.15
1767	11	6.3	58.2	12.6	8.17
1767	12	2.9	30.4	6	5.11
1768	1	0.6	80.7	3.6	3.04
1768	2	4.3	93.3	24.8	6.37
1768	3	4.2	19.8	24.3	6.28
1768	4	7.4	65.8	42.9	9.16
1768	5	11.3	40.9	65.4	12.67
1768	6	12.9	131.5	74.7	14.11
1768	7	14.4	111.2	75.4	15.46
1768	8	14.8	88.3	81.9	15.82
1768	9	10.8	122.5	33.9	12.22
1768	10	8.5	87.2	20.3	10.15
1768	11	5.1	101.8	9.7	7.09
1768	12	4.1	77.2	7.9	6.19
1769	1	2.2	58.9	5.1	4.48
1769	2	2.4	63	13.3	4.66
1769	3	4.5	37.3	25.9	6.55
1769	4	7.1	40.8	41.2	8.89
1769	5	10.4	58.2	60.4	11.86
1769	6	12.1	111.9	70.3	13.39
1769	7	15.2	62	88.9	16.18
1769	8	13.9	93.7	66.7	15.01
1769	9	11.8	120	42.5	13.12
1769	10	7.5	44.1	16.5	9.25
1769	11	5.2	69.1	9.9	7.18
1769	12	4.3	63	8.2	6.37
1770	1	3.3	45	6.6	5.47
1770	2	4.1	47.5	23.7	6.19
1770	3	2.2	60.9	12.2	4.48
1770	4	4.9	59.4	28.1	6.91
1770	5	9.2	52	53.3	10.78
1770	6	12.1	108.3	70.3	13.39
1770	7	14.2	66.6	70.9	15.28
1770	8	14.6	58.8	78.6	15.64
1770	9	12.9	83.9	53.2	14.11
1770	10	8.2	84.9	19.1	9.88
1770	11	4.8	138.7	9.1	6.82
1770	12	3.2	85.6	6.4	5.38
1771	1	0.8	55.2	3.8	3.22
1771	2	2.8	32.4	16	5.02
1771	3	2.7	41	15.5	4.93
1771	4	5	31.5	28.6	7
1771	5	11.3	44.3	65.4	12.67
1771	6	13.2	51.5	76.9	14.38
1771	7	14.5	57.3	77	15.55
1771	8	13.2	104.9	57.8	14.38
1771	9	11.3	67.7	37.5	12.67
1771	10	8.5	98.8	20.3	10.15
1771	11	5.7	43	11.2	7.63
1771	12	5.1	76.9	9.7	7.09
1772	1	1	61.7	3.9	3.4
1772	2	1.6	71.9	8.9	3.94
1772	3	4	67.7	22.6	6.1
1772	4	5.8	48.7	33.6	7.72
1772	5	9.3	45.3	53.9	10.87
1772	6	14.9	77.8	86.7	15.91
1772	7	15.7	65.7	98.5	16.63
1772	8	14.9	75.7	83.6	15.91
1772	9	12	126.1	44.2	13.3
1772	10	10.8	76	33.9	12.22
1772	11	6.6	111.2	13.4	8.44
1772	12	4.3	38.4	8.2	6.37
1773	1	3.6	55.2	7	5.74
1773	2	2.3	57.5	12.7	4.57
1773	3	5.9	24.3	34.1	7.81
1773	4	7.6	46.1	44	9.34
1773	5	9.5	107.7	54.9	11.05
1773	6	13.6	68.5	79.1	14.74
1773	7	14.7	47.2	80.2	15.73
1773	8	15.9	82.2	104.8	16.81
1773	9	11.4	126.1	39.1	12.76
1773	10	9.1	82.7	23.4	10.69
1773	11	4.8	90.7	9.1	6.82
1773	12	3.4	75.7	6.7	5.56
1774	1	0.4	78.3	3.5	2.86
1774	2	3.9	76.6	22.1	6.01
1774	3	5.8	65.8	33.6	7.72
1774	4	7.9	45.7	45.6	9.61
1774	5	10	59.4	58.2	11.5
1774	6	13.6	73.7	79.1	14.74
1774	7	14.9	90.2	83.6	15.91
1774	8	14.9	87.8	83.6	15.91
1774	9	11.5	140.8	39.9	12.85
1774	10	9.5	37.6	25.4	11.05
1774	11	4.3	42.3	8.2	6.37
1774	12	3.1	52.3	6.3	5.29
1775	1	4.1	60.3	7.9	6.19
1775	2	5.6	74.4	31.9	7.54
1775	3	5.5	52.4	31.4	7.45
1775	4	9	30.7	52.2	10.6
1775	5	11.6	25.4	67.6	12.94
1775	6	15.4	54	89.5	16.36
1775	7	15.5	138.9	94.6	16.45
1775	8	14.6	126.9	78.6	15.64
1775	9	13.2	117.7	57.8	14.38
1775	10	8.5	84.3	20.7	10.15
