Year	CO2	NDep
1999	370	1.5
2000	374	1.5
2001	377	1.5
2002	380	1.5
2003	383	1.5
2004	386	1.5
2005	389	1.5
2006	392	1.5
2007	395	1.5
2008	398	1.5
2009	400	1.5
2010	403	1.5
2011	406	1.5
2012	409	1.5
2013	412	1.5
2014	415	1.5
2015	418	1.5
2016	421	1.5
2017	424	1.5
2018	427	1.5
2019	430	1.5
2020	432	1.5
2021	435	1.5
2022	438	1.5
2023	441	1.5
2024	444	1.5
2025	447	1.5
2026	451	1.5
2027	454	1.5
2028	458	1.5
2029	461	1.5
2030	465	1.5
2031	468	1.5
2032	472	1.5
2033	476	1.5
2034	479	1.5
2035	483	1.5
2036	486	1.5
2037	490	1.5
2038	493	1.5
2039	497	1.5
2040	501	1.5
2041	504	1.5
2042	508	1.5
2043	511	1.5
2044	515	1.5
2045	518	1.5
2046	522	1.5
2047	526	1.5
2048	529	1.5
2049	533	1.5
2050	536	1.5
2051	540	1.5
2052	543	1.5
2053	547	1.5
2054	550	1.5
2055	554	1.5
2056	559	1.5
2057	564	1.5
2058	568	1.5
2059	573	1.5
2060	578	1.5
2061	583	1.5
2062	587	1.5
2063	592	1.5
2064	597	1.5
2065	602	1.5
2066	606	1.5
2067	611	1.5
2068	616	1.5
2069	621	1.5
2070	626	1.5
2071	630	1.5
2072	635	1.5
2073	640	1.5
2074	645	1.5
2075	649	1.5
2076	654	1.5
2077	659	1.5
2078	664	1.5
2079	668	1.5
2080	673	1.5
2081	678	1.5
2082	683	1.5
2083	688	1.5
2084	692	1.5
2085	697	1.5
2086	701	1.5
2087	704	1.5
2088	708	1.5
2089	711	1.5
2090	715	1.5
2091	718	1.5
2092	722	1.5
2093	725	1.5
2094	729	1.5
2095	732	1.5
2096	736	1.5
2097	739	1.5
2098	743	1.5
2099	747	1.5
