Year	CO2	NDep
1766	278	0.82
1767	278	0.82
1768	278	0.82
1769	278	0.82
1770	278	0.82
1771	278	0.82
1772	278	0.83
1773	278	0.83
1774	278	0.83
1775	278	0.83
1776	278	0.83
1777	278	0.83
1778	279	0.83
1779	279	0.83
1780	279	0.84
1781	279	0.84
1782	279	0.84
1783	279	0.84
1784	279	0.84
1785	279	0.84
1786	279	0.84
1787	279	0.85
1788	279	0.85
1789	279	0.85
1790	279	0.85
1791	279	0.85
1792	279	0.85
1793	280	0.85
1794	280	0.86
1795	280	0.86
1796	280	0.86
1797	280	0.86
1798	280	0.86
1799	280	0.86
1800	280	0.86
1801	280	0.86
1802	280	0.87
1803	280	0.87
1804	280	0.87
1805	281	0.87
1806	281	0.87
1807	281	0.87
1808	281	0.87
1809	281	0.88
1810	281	0.88
1811	281	0.88
1812	281	0.88
1813	281	0.88
1814	282	0.88
1815	282	0.88
1816	282	0.89
1817	282	0.89
1818	282	0.89
1819	282	0.89
1820	282	0.89
1821	282	0.89
1822	282	0.89
1823	283	0.89
1824	283	0.90
1825	283	0.90
1826	283	0.90
1827	283	0.90
1828	283	0.90
1829	283	0.90
1830	283	0.90
1831	284	0.91
1832	284	0.91
1833	284	0.91
1834	284	0.91
1835	284	0.91
1836	284	0.91
1837	284	0.91
1838	285	0.92
1839	285	0.92
1840	285	0.92
1841	285	0.92
1842	285	0.92
1843	285	0.92
1844	286	0.92
1845	286	0.92
1846	286	0.93
1847	286	0.93
1848	286	0.93
1849	286	0.93
1850	286	0.93
1851	287	0.93
1852	287	0.93
1853	287	0.94
1854	287	0.94
1855	287	0.94
1856	288	0.94
1857	288	0.94
1858	288	0.94
1859	288	0.94
1860	288	0.95
1861	288	0.95
1862	289	0.95
1863	289	0.95
1864	289	0.95
1865	289	0.95
1866	289	0.95
1867	290	0.95
1868	290	0.96
1869	290	0.96
1870	290	0.96
1871	290	0.96
1872	291	0.96
1873	291	0.96
1874	291	0.96
1875	291	0.97
1876	291	0.97
1877	292	0.97
1878	292	0.97
1879	292	0.97
1880	292	0.97
1881	292	0.97
1882	293	0.98
1883	293	0.98
1884	293	0.98
1885	293	0.98
1886	293	0.98
1887	294	0.98
1888	294	0.98
1889	294	0.98
1890	294	0.99
1891	295	0.99
1892	295	0.99
1893	295	0.99
1894	295	0.99
1895	296	0.99
1896	296	0.99
1897	296	1.00
1898	296	1.00
1899	297	1.00
1900	297	1.00
1901	297	1.00
1902	297	1.00
1903	297	1.00
1904	298	1.01
1905	298	1.01
1906	298	1.01
1907	299	1.01
1908	299	1.01
1909	299	1.01
1910	299	1.01
1911	300	1.01
1912	300	1.02
1913	300	1.02
1914	300	1.02
1915	301	1.02
1916	301	1.02
1917	301	1.02
1918	301	1.02
1919	302	1.03
1920	302	1.03
1921	302	1.03
1922	302	1.03
1923	303	1.03
1924	303	1.03
1925	303	1.03
1926	304	1.04
1927	304	1.04
1928	304	1.04
1929	304	1.04
1930	305	1.04
1931	305	1.04
1932	305	1.04
1933	306	1.04
1934	306	1.05
1935	306	1.05
1936	307	1.05
1937	307	1.05
1938	307	1.05
1939	307	1.05
1940	308	1.05
1941	308	1.06
1942	308	1.06
1943	309	1.06
1944	309	1.06
1945	309	1.06
1946	310	1.06
1947	310	1.06
1948	310	1.07
1949	311	1.07
1950	311	1.07
1951	311	1.07
1952	312	1.07
1953	312	1.07
1954	313	1.07
1955	313	1.07
1956	314	1.08
1957	315	1.08
1958	315	1.08
1959	316	1.08
1960	317	1.15
1961	317	1.23
1962	318	1.30
1963	319	1.38
1964	319	1.45
1965	320	1.53
1966	321	1.60
1967	322	1.68
1968	323	1.75
1969	324	1.83
1970	326	1.90
1971	326	1.98
1972	327	2.05
1973	330	2.13
1974	330	2.20
1975	331	2.23
1976	332	2.26
1977	334	2.29
1978	335	2.31
1979	337	2.34
1980	339	2.37
1981	340	2.40
1982	341	2.43
1983	343	2.46
1984	344	2.49
1985	346	2.51
1986	347	2.54
1987	349	2.57
1988	351	2.60
1989	353	2.63
1990	354	2.66
1991	355	2.69
1992	356	2.71
1993	357	2.74
1994	359	2.77
1995	361	2.80
1996	363	2.83
1997	364	2.86
1998	367	2.89
1999	367	2.91
