Year	CO2	NDep
1766	278	0.81
1767	278	0.81
1768	278	0.81
1769	278	0.81
1770	278	0.82
1771	278	0.82
1772	278	0.82
1773	278	0.82
1774	278	0.82
1775	278	0.82
1776	278	0.82
1777	278	0.82
1778	279	0.82
1779	279	0.82
1780	279	0.83
1781	279	0.83
1782	279	0.83
1783	279	0.83
1784	279	0.83
1785	279	0.83
1786	279	0.83
1787	279	0.83
1788	279	0.83
1789	279	0.83
1790	279	0.84
1791	279	0.84
1792	279	0.84
1793	280	0.84
1794	280	0.84
1795	280	0.84
1796	280	0.84
1797	280	0.84
1798	280	0.84
1799	280	0.84
1800	280	0.85
1801	280	0.85
1802	280	0.85
1803	280	0.85
1804	280	0.85
1805	281	0.85
1806	281	0.85
1807	281	0.85
1808	281	0.85
1809	281	0.85
1810	281	0.86
1811	281	0.86
1812	281	0.86
1813	281	0.86
1814	282	0.86
1815	282	0.86
1816	282	0.86
1817	282	0.86
1818	282	0.86
1819	282	0.86
1820	282	0.87
1821	282	0.87
1822	282	0.87
1823	283	0.87
1824	283	0.87
1825	283	0.87
1826	283	0.87
1827	283	0.87
1828	283	0.87
1829	283	0.87
1830	283	0.88
1831	284	0.88
1832	284	0.88
1833	284	0.88
1834	284	0.88
1835	284	0.88
1836	284	0.88
1837	284	0.88
1838	285	0.88
1839	285	0.88
1840	285	0.89
1841	285	0.89
1842	285	0.89
1843	285	0.89
1844	286	0.89
1845	286	0.89
1846	286	0.89
1847	286	0.89
1848	286	0.89
1849	286	0.89
1850	286	0.90
1851	287	0.90
1852	287	0.90
1853	287	0.90
1854	287	0.90
1855	287	0.90
1856	288	0.90
1857	288	0.90
1858	288	0.90
1859	288	0.90
1860	288	0.91
1861	288	0.91
1862	289	0.91
1863	289	0.91
1864	289	0.91
1865	289	0.91
1866	289	0.91
1867	290	0.91
1868	290	0.91
1869	290	0.91
1870	290	0.91
1871	290	0.92
1872	291	0.92
1873	291	0.92
1874	291	0.92
1875	291	0.92
1876	291	0.92
1877	292	0.92
1878	292	0.92
1879	292	0.92
1880	292	0.92
1881	292	0.92
1882	293	0.92
1883	293	0.92
1884	293	0.92
1885	293	0.92
1886	293	0.92
1887	294	0.92
1888	294	0.92
1889	294	0.92
1890	294	0.92
1891	295	0.92
1892	295	0.92
1893	295	0.92
1894	295	0.92
1895	296	0.92
1896	296	0.92
1897	296	0.92
1898	296	0.92
1899	297	0.92
1900	297	0.92
1901	297	0.92
1902	297	0.92
1903	297	0.92
1904	298	0.92
1905	298	0.92
1906	298	0.95
1907	299	0.97
1908	299	1.00
1909	299	1.02
1910	299	1.05
1911	300	1.07
1912	300	1.10
1913	300	1.12
1914	300	1.15
1915	301	1.17
1916	301	1.19
1917	301	1.22
1918	301	1.24
1919	302	1.27
1920	302	1.29
1921	302	1.32
1922	302	1.34
1923	303	1.37
1924	303	1.39
1925	303	1.42
1926	304	1.43
1927	304	1.44
1928	304	1.45
1929	304	1.47
1930	305	1.48
1931	305	1.49
1932	305	1.50
1933	306	1.51
1934	306	1.52
1935	306	1.53
1936	307	1.55
1937	307	1.56
1938	307	1.57
1939	307	1.58
1940	308	1.59
1941	308	1.60
1942	308	1.61
1943	309	1.63
1944	309	1.64
1945	309	1.65
1946	310	1.66
1947	310	1.67
1948	310	1.68
1949	311	1.69
1950	311	1.71
1951	311	1.72
1952	312	1.73
1953	312	1.74
1954	313	1.75
1955	313	1.76
1956	314	1.77
1957	315	1.79
1958	315	1.80
1959	316	1.81
1960	317	1.82
1961	317	1.87
1962	318	1.92
1963	319	1.98
1964	319	2.03
1965	320	2.08
1966	321	2.13
1967	322	2.18
1968	323	2.24
1969	324	2.29
1970	326	2.34
1971	326	2.39
1972	327	2.44
1973	330	2.48
1974	330	2.53
1975	331	2.58
1976	332	2.78
1977	334	2.98
1978	335	3.18
1979	337	3.38
1980	339	3.58
1981	340	3.40
1982	341	3.22
1983	343	3.04
1984	344	2.86
1985	346	2.68
1986	347	2.58
1987	349	2.47
1988	351	2.37
1989	353	2.26
1990	354	2.16
1991	355	2.06
1992	356	1.96
1993	357	1.86
1994	359	1.76
1995	361	1.66
1996	363	1.56
1997	364	1.46
1998	367	1.36
1999	367	1.26
