Year	Month	Temp	Prec	Evap
1999	1	-10.7	36.3	17.16
1999	2	-6.7	14.1	21.56
1999	3	-2.8	28.8	32.58
1999	4	6.1	20.4	115.63
1999	5	15.1	41.0	192.76
1999	6	19.3	64.1	231.26
1999	7	21.2	91.5	241.73
1999	8	17.8	44.4	275.05
1999	9	15.7	170.3	225.06
1999	10	6.5	63.3	127.71
1999	11	4.1	85.4	65.8
1999	12	-4.7	51.1	17.89
2000	1	-10.6	33.7	20.21
2000	2	-7.6	7.4	25.66
2000	3	1.2	67.3	60.15
2000	4	4.9	81.6	95.25
2000	5	12.4	106.4	172.66
2000	6	16.2	173.8	209.53
2000	7	18.3	79.8	202.77
2000	8	18.0	76.1	177.99
2000	9	12.7	69.6	213.36
2000	10	7.6	20.8	120.08
2000	11	1.2	66.8	32.08
2000	12	-10.8	21.8	13.63
2001	1	-9.6	0.6	10.55
2001	2	-9.1	31.6	25.69
2001	3	-3.3	9.1	33.25
2001	4	6.1	11.2	115.07
2001	5	13.9	72.2	192.51
2001	6	18.9	83.7	265.07
2001	7	18.7	80.0	226.74
2001	8	20.3	51.9	255.46
2001	9	14.3	99.0	219.62
2001	10	8.6	94.7	135.71
2001	11	4.1	47.0	55.55
2001	12	-1.8	38.7	28.69
2002	1	-4.6	3.8	16.61
2002	2	-6.6	20.3	28.84
2002	3	-2.9	28.2	45.65
2002	4	6.1	61.4	103.58
2002	5	10.9	94.8	183.05
2002	6	16.5	159.5	193.1
2002	7	21.2	41.9	283.64
2002	8	19.8	39.5	277.86
2002	9	16.0	55.2	241.46
2002	10	5.4	92.4	95.03
2002	11	0.0	28.8	25.91
2002	12	-6.0	9.2	14.35
2003	1	-13.4	9.5	13.4
2003	2	-12.2	9.8	23.75
2003	3	-4.2	39.7	29.36
2003	4	3.6	32.6	89.69
2003	5	12.2	104.4	169.65
2003	6	17.7	52.3	247.5
2003	7	19.6	100.7	184.01
2003	8	19.9	42.1	200.91
2003	9	15.2	42.7	182.12
2003	10	5.9	147.9	86.36
2003	11	1.8	152.6	48.53
2003	12	-5.3	123.7	16.42
2004	1	-14.3	1.8	15.79
2004	2	-7.5	0.6	21.58
2004	3	-0.4	51.9	33.79
2004	4	5.4	80.6	115.18
2004	5	12.6	73.8	169.87
2004	6	16.5	68.8	238.64
